,event_id,user_id,user_code,plan_date,close_date,customer_id,region_name,region_code,deal_id,description,close_comment
6048,43945.0,8.0,,2021-03-09,2021-03-09,404.0,Тамбовская область,68.0,2949.0,Выявление потребности в технике,Сделка проиграна. Технодом поставил на склад клиента опрыскиватель ДД.
6049,43944.0,8.0,,2021-03-12,2021-03-12,1340.0,Тамбовская область,68.0,3946.0,Планирование демопоказа Трактор и посевной комплекс,В рабочем режиме.
6050,43943.0,8.0,,2021-03-09,2021-03-09,1260.0,Тамбовская область,68.0,3234.0,Обсуждение предложения по сеялкам,Сделка закрыта.
6051,43942.0,28.0,,2021-03-11,2021-03-11,630.0,Москва,77.0,,Выяснить потребность в технике,"Встречались с Левченко, обсудили условия поставки сеялки."
6052,43941.0,14.0,,2021-03-12,2021-03-12,2214.0,Воронежская область,36.0,2837.0,Потребность в посевном оборудовании. Обсуждение.,"Совместно с директором филиала встретились с руководителем, клиент просит предоставить на посевную прд 500, но так как у нас поставка только на июль месяц, проробатываем возможность предоставить с черкизова. Клиента устраивает такой вариант. Взяли паузу 1.5-2 неделт."
6053,43940.0,14.0,,2021-03-11,2021-03-11,2209.0,Воронежская область,36.0,4461.0,Акция по продвижению оборудования. Обсуждение с клиентом,"Встретились с клиентом, обсудили текущие потребности, из актуальных только прессподборщик, переговоры возобновляем в конце марта"
6054,43939.0,14.0,,2021-03-11,2021-03-11,2216.0,Воронежская область,36.0,4677.0,Встреча по трактору,Совместно с Дмитриевым Павлом встретились с клиентом. Обсудили демопоказ  кормоуборочного комбайна. Клиент готов к показу
6055,43938.0,36.0,,2021-03-11,2021-03-11,1186.0,Воронежская область,36.0,4774.0,Потребность в посевном оборудовании. Обсуждение.,"Переговорили с клиентом, планирует закупить комбайн NH СХ6.90, попросил специальные условия 10 -20 % предоплата и далее частями до конца года, согласование с руководством. Далее если руководство даст добро, составляем договор на аванс."
6056,43937.0,8.0,,2021-03-10,2021-03-10,1277.0,Тамбовская область,68.0,4216.0,Обсуждение условий сделки,
6057,43936.0,8.0,,2021-03-11,2021-03-11,4928.0,Тамбовская область,68.0,4379.0,Выявление потребности в технике,Провели реализацию и закрыли сделку.
6058,43935.0,8.0,,2021-03-11,2021-03-11,4928.0,Тамбовская область,68.0,4276.0,Акция по продвижению оборудования. Обсуждение с клиентом,Провели реализацию и закрыли сделку.
6059,43934.0,8.0,,2021-03-11,2021-03-11,1254.0,Тамбовская область,68.0,3831.0,Обсудить потребность в тракторе,"Клиент подписал договора и осущ оплату аванса 30%. Ожидаем приход товара на склад РФ, после чего уведомляем клиента о готовности к отгрузке и получаем остальные 70%"
6060,43933.0,27.0,,2021-01-15,2021-03-10,106.0,Липецкая область,48.0,4636.0,Обсуждение предложения по сеялкам,Клиент рассматривает два трактора ДД 8320.
6061,43932.0,8.0,,2021-03-10,2021-03-10,1161.0,Тамбовская область,68.0,4764.0,Обсудить потребность в тракторе,"Выявлена потребность. Сделано КП. Провели сравнение с конкурентом ДД М4040 36 м. с пофорсуночным откл стоимостью 455 т Долл. Предпочтение отдал Патриоту 4430 , но в связи с тем что клиент по банковской схеме ограничил мне в сроке поставки до конца апреля 2021 и его не устроил срок поставки до конца июня 2021. Заключился и внес предоплату на поставку ДД М4040"
6062,43931.0,27.0,,2021-03-11,2021-03-11,68.0,Липецкая область,48.0,2941.0,Выявление потребности в технике,"Встретился с клиентом передал кп на комбайн СХ8.80, сказал что кол-во комбайнов ограничено."
6063,43930.0,27.0,,2021-03-10,2021-03-11,9.0,Липецкая область,48.0,4475.0,Обсуждение предложения по сеялкам,"Встречались с клиентом, ездил вместе с Фроловым Ильей по навигации обсуждения."
6064,43929.0,27.0,,2021-03-11,2021-03-11,956.0,Липецкая область,48.0,4763.0,Встреча по трактору,"Встреча с клиентом, сказал нужен трактор 350 л.с. Договорились что скину кп на электронку и приеду на переговоры на след.неделе."
6065,43927.0,29.0,,2021-03-10,2021-03-10,985.0,Ленинградская область,47.0,4762.0,Обсудить потребность в тракторе,Выявлена потребность в тракторе 130-140 л.с.
6066,43926.0,36.0,,2021-03-10,2021-03-11,2682.0,Воронежская область,36.0,3718.0,Обсуждение предложения по сеялкам,"Все осталось по прежнему в хозяйстве, решать все вопросы через Краснодар УК. На месте по закупке только могут дать рекомендации, что нужно. В настоящее время запросов нет"
6067,43925.0,36.0,,2021-03-11,2021-03-11,803.0,Воронежская область,36.0,,Акция по продвижению оборудования. Обсуждение с клиентом,"Ответ клиента на встрече закупать не будут ни чего, реорганизация"
6068,43924.0,36.0,,2021-03-11,2021-03-11,801.0,Воронежская область,36.0,,Почвообработка. Переговоры с генеральным и главным инженером,"Встречался с клиентом, говорит на иностранную технику не может пока пойти и купить. В настоящее время есть и фин трудности, пока все в процессе ожидания."
6069,43923.0,28.0,,,2021-03-10,1661.0,Москва,77.0,,Встреча по трактору,"Обсудили с Позиным дальнейшее сотрудничество. На 22 год планируется замена 58 з/у комбайнов по той же схеме, 50% объёма планируется на наши територии."
6070,43922.0,32.0,,2021-03-10,2021-03-10,5076.0,Воронежская область,36.0,4759.0,Обсуждение условий сделки,"Звонок. Клиент взял паузу  в переговорах, договорились созвониться  16 марта."
6071,43920.0,36.0,,2021-03-10,2021-03-10,4138.0,Воронежская область,36.0,4146.0,Приобретение трактора 150 л.с. Обсуждение деталей,"Встреча с клиентом, обсудили возможность закупки клиентом сеялок MTR8 - 6 штук, клиент сообщает , что скорее уже закупка будет в новом году  или после уборочной. Клиенту предложено купить уже сейчас, не ждать осени и подорожания, в этой связи клиенту доведена информация, что мы можем предоставить скидку, либо лизинг или отгрузить запасные части для сеялок в счет скидки. Клиент подумает, но во время беседы пытался дать понять, что готовность будет только к новому сезону."
6072,43919.0,36.0,,2021-03-10,2021-03-10,3166.0,Воронежская область,36.0,2749.0,Выяснить потребность в технике,"Обсудили при встрече с клиентом закупку трактора CASE 140 иди 155, но это будет осенью, после уборочной. Остальное всего хватает в хозяйстве пока предлагать не нужно."
6073,43918.0,32.0,,2021-03-10,2021-03-10,3019.0,Воронежская область,36.0,4303.0,Приобретение трактора 150 л.с. Обсуждение деталей,"Проведена встреча с главным инженером хозяйства. В хозяйстве сейчас занимаются подготовкой техники к предстоящему с/х сезону, укомплектовывают склад запасных частей. Техникой укомплектованы, потребности пока нет."
6074,43917.0,36.0,,2021-03-10,2021-03-10,5078.0,Воронежская область,36.0,,Встреча по трактору,"Проведена встреча с управляющим хозяйства, знакомство и выявление потребности. Клиент сообщил, что последнее, что они купили это трактор Massey 8 ка, в хозяйстве есть ДД и Massey 6 ка. В настоящее время потребности нет. Спросил цены на комбайны 8 и 9 NH роторные для обмолота кукурузы. Есть возможность организовать Демо показ либо у клиента, либо пригласить клиента на Демо в другое хозяйство."
6075,43916.0,32.0,,2021-03-10,2021-03-10,3050.0,Воронежская область,36.0,,Обсуждение условий сделки,"Проведена встреча с Кретининым А.В., в хозяйстве в данный момент занимаются плановыми ремонтами техники, установкой систем навигации. Рассказал новинках в нашей линейке: анализаторах зерна. растворных узлах. Кретинин  говорит что по зерну у них есть своя лаборатория и свой растворный узел. Потребности в технике пока нет."
6076,43915.0,14.0,,2021-03-10,2021-03-10,4692.0,Воронежская область,36.0,4128.0,Встреча по трактору,Встретился с руководителем. В данный момент все потребности закрыты. На осень так же актуален плуг.
